n_estimators,learning_rate,subsample,max_depth,min_samples_leaf,min_samples_split,max_features,val_auc,chosen_flag
100,0.1,1.0,2,50,10,sqrt,0.6939577467717105,False
600,0.03,0.8,2,100,10,,0.6842571700184328,False
100,0.1,0.6,3,50,50,,0.6847576142587535,False
600,0.05,1.0,2,100,50,sqrt,0.6865504851985769,False
300,0.05,1.0,3,100,50,sqrt,0.6876836506863192,False
300,0.05,0.8,3,50,50,,0.6797016131416441,False
600,0.03,0.8,3,50,2,sqrt,0.6879252204672558,False
100,0.03,0.8,3,50,10,sqrt,0.6968786311854149,True
300,0.1,0.8,3,100,50,sqrt,0.6771458168009268,False
600,0.1,0.8,3,100,50,,0.6498556793929464,False
300,0.05,1.0,3,100,10,,0.6796006057592509,False
300,0.1,0.6,3,100,2,,0.664765911691536,False
600,0.1,1.0,2,100,10,sqrt,0.6775449932645204,False
100,0.05,0.8,2,100,50,sqrt,0.6955060601928768,False
300,0.1,0.6,2,100,10,,0.6758547459037528,False
600,0.05,0.6,2,20,2,sqrt,0.6879510265655963,False
100,0.1,0.6,2,100,50,,0.6873175480561965,False
300,0.03,0.6,2,50,2,,0.6925828625211459,False
100,0.1,0.6,2,100,50,sqrt,0.6927443277775119,False
100,0.03,0.8,3,100,10,sqrt,0.6958455013935819,False
300,0.03,0.6,3,50,50,,0.6857909867627248,False
300,0.03,0.6,3,100,10,sqrt,0.6931058559848324,False
600,0.03,0.6,3,20,2,,0.6774473116601621,False
600,0.03,0.6,3,50,50,sqrt,0.6852652674194388,False
300,0.03,1.0,2,100,2,,0.6942896799887661,False
100,0.03,0.6,3,50,10,,0.693265550079384,False
100,0.05,0.8,2,50,2,,0.6964851208073496,False
300,0.03,0.8,2,100,50,,0.6929088632548362,False
300,0.03,1.0,2,20,50,,0.6918907120819714,False
600,0.1,1.0,2,20,50,sqrt,0.6781108609567547,False
300,0.1,0.8,2,100,10,sqrt,0.6853704624705599,False
100,0.1,0.6,2,50,10,sqrt,0.6945649713526848,False
300,0.1,1.0,2,20,2,,0.6793999895272872,False
100,0.03,0.6,3,20,50,sqrt,0.695081430575065,False
300,0.03,0.6,3,20,10,,0.6866556860523322,False
300,0.05,1.0,3,20,10,sqrt,0.6883729693932311,False
100,0.03,0.8,3,20,2,sqrt,0.6964325652725286,False
600,0.05,1.0,2,20,10,sqrt,0.6877640167264792,False
300,0.1,1.0,3,50,2,sqrt,0.6764513983165713,False
100,0.05,0.8,2,50,50,sqrt,0.6961453108165842,False
300,0.1,0.6,2,50,50,,0.6729771353768167,False
100,0.03,1.0,3,50,50,,0.6952001245122489,False
100,0.1,1.0,2,100,2,,0.6924783185600564,False
100,0.1,0.6,3,50,2,,0.6847576142587535,False
600,0.03,0.6,2,20,10,sqrt,0.6930352029165622,False
300,0.05,0.6,2,20,2,,0.6887998764407223,False
600,0.05,1.0,3,20,10,sqrt,0.6774879153019708,False
300,0.03,0.8,2,100,10,,0.6929088632548362,False
300,0.03,0.6,2,50,10,,0.6925828625211459,False
300,0.1,0.6,2,50,2,sqrt,0.6873902258406845,False
600,0.05,1.0,2,100,50,,0.6805535113133586,False
300,0.05,0.6,2,100,2,sqrt,0.6943987014450531,False
300,0.03,0.6,2,50,10,sqrt,0.6964149561021372,False
300,0.03,0.6,3,100,50,sqrt,0.6931058559848324,False
300,0.03,0.8,2,100,2,sqrt,0.6964860418568449,False
100,0.1,1.0,2,50,2,,0.693060908464958,False
600,0.05,1.0,3,100,10,,0.6686850647148241,False
600,0.03,1.0,2,20,50,sqrt,0.691487924777706,False
600,0.1,1.0,3,100,2,,0.6551132054495022,False
300,0.05,1.0,3,20,2,sqrt,0.6883729693932311,False
